dong_code,dong,category,total_amount,avg_monthly_amount,total_count,total_customer,avg_living_pop,avg_work_pop,avg_time_pop,avg_inflow_pop,avg_total_demand_pop,external_ratio,store_count,amount_growth_24_vs_23,group,store_count_adj,sales_shortage,pop_shortage,amount_score,pop_score,growth_score,external_score,sales_shortage_score,location_score,grade,reason
47190583,형곡2동,패스트푸드,505850000,42154166.666666664,50449,46287,0.0,0.0,0.0,374242.2575,56136.338625000004,0.5913395905990629,2.0,0,음식점,2.0,252925000.0,28068.169312500002,0.005231567551508222,0.2631432851922966,0,0.03840990841968127,0.020015194457122524,0.0881,낮음,특징 약함
47190583,형곡2동,한식,22807570000,1900630833.3333333,623167,571013,0.0,0.0,0.0,374242.2575,56136.338625000004,0.6247495948962437,15.0,0,음식점,15.0,1520504666.6666667,3742.422575,0.2376177221227728,0.2631432851922966,0,0.11702464171112018,0.12306318618849145,0.216,낮음,특징 약함
47190590,신평1동,양식,322693000,26891083.333333332,31316,24322,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.6972443504315246,2.0,0,음식점,2.0,161346500.0,34755.635312499995,0.003323053279388892,0.3356334994988217,0,0.287606956539349,0.012570312877736323,0.1328,낮음,특징 약함
47190590,신평1동,일식,1454577000,121214750.0,20515,18711,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.6707950976689494,2.0,0,음식점,2.0,727288500.0,34755.635312499995,0.015117397849257997,0.3356334994988217,0,0.2253710785313011,0.05857861363392894,0.1388,낮음,특징 약함
47190590,신평1동,제과점/아이스크림,2395115000,199592916.66666666,249642,209533,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.6451746400720627,2.0,0,카페,2.0,1197557500.0,34755.635312499995,0.02491789794737366,0.3356334994988217,0,0.16508538018573618,0.09680917010140078,0.1429,낮음,특징 약함
47190590,신평1동,중식,937402000,78116833.33333333,39897,33422,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.708850263738862,2.0,0,음식점,2.0,468701000.0,34755.635312499995,0.00972838258539522,0.3356334994988217,0,0.3149160155608374,0.03755672186446854,0.1422,낮음,특징 약함
47190590,신평1동,패스트푸드,1283668000,106972333.33333333,117684,96827,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.6719476747269733,5.0,0,음식점,5.0,256733600.0,13902.254124999998,0.013336508963036654,0.3356334994988217,0,0.22808312661152302,0.02032481490278663,0.1325,낮음,특징 약함
47190590,신평1동,한식,18075134000,1506261166.6666667,569138,502053,0.0,0.0,0.0,463408.4708333334,69511.27062499999,0.6506015064279403,52.0,0,음식점,52.0,347598730.7692308,1336.755204326923,0.18830526533492786,0.3356334994988217,0,0.17785495804573076,0.027711703072743166,0.2074,낮음,특징 약함
47190600,신평2동,양식,17135000,1427916.6666666667,1177,1053,0.0,0.0,0.0,52005.9375,7800.890625,0.7047625157866136,0.0,0,음식점,0.5,34270000.0,15601.78125,0.00013910833619677684,0.0011720853296054317,0,0.3052974231125945,0.00223961851145089,0.0313,낮음,특징 약함
47190600,신평2동,일식,213292000,17774333.333333332,2501,2033,0.0,0.0,0.0,52005.9375,7800.890625,0.6394620013577849,1.0,0,음식점,1.0,213292000.0,7800.890625,0.0021830839094815076,0.0011720853296054317,0,0.15164337147126267,0.01679322651010643,0.019,낮음,특징 약함
