dong_key,dong,total_amount,total_count,total_customer,avg_total_demand_pop,store_count,category_count,avg_location_score,external_ratio,sales_shortage,amount_growth_24_vs_23,consumption_activation,map_name
임오동,임오동,1928469000,82652,74952,8149.605948583333,2.0,1,0.1676,0.7618537742826897,964234500.0,0.0957951923630756,236633.4043838317,양식
장천면,장천면,60564000,2791,2250,1363.1827838333334,0.0,1,0.0809,0.6608343911529059,121128000.0,0.329026303645593,44428.37799762349,양식
지산동,지산동,118700000,8735,7036,1753.8536213333334,0.0,1,0.089,0.715393843045748,237400000.0,0.1010708912293123,67679.53639697742,양식
진미동,진미동,7031394000,182536,146032,15923.074261666668,2.0,1,0.2684,0.7839476385906745,3515697000.0,0.0385874780743081,441585.2042420874,양식
해평면,해평면,28586000,1903,1545,1731.500654875,0.0,1,0.0928,0.6723489393955124,57172000.0,0.4842269922655774,16509.378682310504,양식
형곡1동,형곡1동,1560705000,119014,103264,7787.470175750001,3.0,1,0.1303,0.65074880929682,520235000.0,-0.0224690485150509,200412.324513293,양식
형곡2동,형곡2동,1413345000,72662,63113,8328.659252291667,1.0,1,0.1955,0.641413949604298,1413345000.0,1.4105157236346788,169696.58106868906,양식
고아읍,고아읍,2053316000,166785,151139,10427.453303875,29.0,1,0.1334,0.5694493826355276,70804000.0,-0.0462583946578671,196914.42772867242,패스트푸드
광평동,광평동,107457000,10891,9059,2455.81240025,5.0,1,0.0516,0.7196131632458358,21491400.0,-1.0,43756.192447379515,패스트푸드
도량동,도량동,6214559000,620264,540425,15006.15911625,26.0,1,0.1986,0.6292545112624544,239021500.0,-0.0426974204921288,414133.88674989616,패스트푸드
비산동,비산동,567582000,41142,36035,5397.620741666667,12.0,1,0.1273,0.6463642788731601,47298500.0,0.6137905309257699,105154.10903522339,패스트푸드
산동읍,산동읍,2381579000,213433,180642,7843.762968958334,27.0,1,0.138,0.6572859409996449,88206629.62962963,0.153449066266885,303627.09957262746,패스트푸드
상모사곡동,상모사곡동,1671770000,111402,92729,16036.0337275,44.0,1,0.2402,0.6825632275260495,37994772.72727273,0.6712247780597081,104250.84085057153,패스트푸드
선산읍,선산읍,2101022000,130337,119302,5418.59984525,18.0,1,0.0922,0.5885950281955382,116723444.44444443,-0.0126936562932442,387742.6014105429,패스트푸드
선주원남동,선주원남동,1684298000,136306,119024,23355.1182575,24.0,1,0.2679,0.6310147322423169,70179083.33333333,-0.0784370097829497,72116.8688349126,패스트푸드
송정동,송정동,4684919000,368893,317955,11153.684302375,32.0,1,0.1594,0.6447262902190758,146403718.75,-0.1247985174244653,420033.3157181453,패스트푸드
